item,quantity,notes,productId,price,size
"Flour 5lb bag",1,"","0001111085402","$2.69","5 lb"
"Boars Head Deli ham",1,"thin sliced","0028576480000","$15.99","1 lb"
"Boars Head American white cheese",1,"","0004242150012","$8.49","8 oz"
"De Cecco Rigatoni",2,"","0002409407024","$3.79","16 oz"
"De Cecco Farfalle",2,"","0002409407093","$3.79","16 oz"
"Baby spinach",1,"package","0001111091649","$2.49","10 oz"
"Bananas",1,"bunch","0000000004236","","1 ct"
"Carrots",1,"loose, 2-3 carrots","0000000004562","$1.29","1 lb"
"Italian parsley",1,"","0000000094901","$1.99","each"
"Celery",1,"","0000000004070","$1.89","1 lb"
"Burrata",1,"near deli counter on an island","0081794401000","$10.99","8 oz"
"Eggplant",1,"","0000000094081","$3.99","1 lb"
"Liquid Death sparkling water",1,"Severed Lime / Doctor Death","0084044220041","$7.79","6 ct / 12 oz"
"White eggs",1,"1 dozen","0001111090406","$2.59","12 ct"
